phase,layer,n_pairs,delta_norm_mean,direction_coherence,heldout_cosine_mean,heldout_positive_rate,permutation_p
response_first,6,32,0.5119460432554073,0.14860514855208884,-0.058367567080748535,0.4375,0.9353233830845771
response_first,7,32,0.5905355041854518,0.15509429094070176,-0.045144933624660766,0.46875,0.8606965174129353
response_first,8,32,0.9906435696554561,0.14163256621004353,-0.04629896764292765,0.5625,0.6368159203980099
response_first,9,32,1.2448987969426266,0.14474622321117497,-0.0484069691564451,0.46875,0.7412935323383084
response_first,10,32,1.1983065321441981,0.14776609066481575,-0.04672771750326156,0.46875,0.7313432835820896
response_first,11,32,1.44343958584416,0.15162541569070634,-0.021260382816774025,0.5625,0.5671641791044776
response_first,12,32,1.6410963481413567,0.1548276224047556,-0.013494757430289973,0.5625,0.582089552238806
response_first,13,32,1.8154646683349427,0.16273376474243811,-0.00792527418760347,0.5625,0.5870646766169154
response_first,14,32,1.8817765721462942,0.17175750177484073,0.0010586009969748705,0.5625,0.4626865671641791
response_first,15,32,2.146224320525887,0.18601901935779208,0.028177129600877024,0.5625,0.3034825870646766
response_first,16,32,2.1957627041844043,0.22031981508441112,0.08490601748708927,0.5625,0.0845771144278607
response_first,17,32,2.5091283571988874,0.24297967968746964,0.1151151433542299,0.59375,0.014925373134328358
response_first,18,32,3.244849162209062,0.30096325987001243,0.1971377379494798,0.6875,0.004975124378109453
response_first,19,32,4.117532803708928,0.3817608662896185,0.3032347612712854,0.8125,0.004975124378109453
response_first,20,32,5.378278387322002,0.49286049725916103,0.43535075226791586,1.0,0.004975124378109453
response_first,21,32,7.250550587916986,0.5628714558256096,0.5151068029702406,1.0,0.004975124378109453
response_first,22,32,8.459823550418506,0.5844481818108328,0.5390132208451016,1.0,0.004975124378109453
response_first,23,32,10.023337440985923,0.5865333677547971,0.5405680551222212,1.0,0.004975124378109453
response_first,24,32,11.746706410986366,0.5913898586967091,0.5467785072805837,1.0,0.004975124378109453
response_first,25,32,13.318537634829639,0.6023287593130845,0.5587276366760349,1.0,0.004975124378109453
response_first,26,32,14.83255665343144,0.6005880134970503,0.5565894205296855,1.0,0.004975124378109453
response_first,27,32,16.48374327243028,0.6032159588339214,0.5599894434090226,1.0,0.004975124378109453
response_first,28,32,18.328601451663033,0.6019048548185824,0.5581377134366483,1.0,0.004975124378109453
response_first,29,32,20.712475151741437,0.6057511020756696,0.5615753846618983,1.0,0.004975124378109453
response_first,30,32,22.802591926918133,0.6065932530279641,0.5625068225714234,1.0,0.004975124378109453
response_first,31,32,24.360706389553478,0.6062594691804946,0.562136519707128,1.0,0.004975124378109453
response_first,32,32,27.106280903734763,0.6071303950610343,0.5635914757722672,1.0,0.004975124378109453
response_first,33,32,32.06305089624675,0.611083272563113,0.5663683572779656,1.0,0.004975124378109453
response_first,34,32,40.225814988479655,0.6136920769505916,0.5701000617026718,1.0,0.004975124378109453
response_first,35,32,13.03108610004251,0.695073255178446,0.669648333415627,0.9375,0.004975124378109453
response_mean,0,32,0.02204451429543593,0.15309059013752904,-0.040220197145265,0.5625,0.7014925373134329
response_mean,1,32,0.050717946676704595,0.16682183965260194,0.0017785045192319146,0.5625,0.47761194029850745
response_mean,2,32,0.08694433967031229,0.15652055121065087,-0.01636211410651342,0.5625,0.5472636815920398
response_mean,3,32,0.1291792772444948,0.1510869723516139,-0.03066145008247581,0.5625,0.7412935323383084
response_mean,4,32,0.17831454107263206,0.15086690583135745,-0.038675479800224205,0.53125,0.7263681592039801
response_mean,5,32,0.22467871051135488,0.1523785977542393,-0.03563700271151546,0.5625,0.7611940298507462
response_mean,6,32,0.2592845761463367,0.15179780347765714,-0.04256711370052687,0.53125,0.8109452736318408
response_mean,7,32,0.33599310502911817,0.16431202581533072,-0.012601301002650413,0.5,0.5373134328358209
response_mean,8,32,0.5356417829040951,0.16090895699175606,-0.002663899647506622,0.5625,0.5422885572139303
response_mean,9,32,0.6184507623719658,0.15503695024404718,-0.024975365816440727,0.5,0.6616915422885572
response_mean,10,32,0.6415244271735698,0.1543569160176319,-0.025604257833709183,0.53125,0.5870646766169154
response_mean,11,32,0.7644801066579003,0.15167658975968323,-0.02395860427910665,0.53125,0.572139303482587
response_mean,12,32,0.8428064558706818,0.16387077771016445,-0.002761041572177339,0.5625,0.5621890547263682
response_mean,13,32,0.9559597592158027,0.17742708305798544,0.01638957315423261,0.5625,0.40298507462686567
response_mean,14,32,1.0842623669237517,0.2128906584505006,0.0712075240369611,0.5625,0.14427860696517414
response_mean,15,32,1.3189878419364331,0.2450541528473732,0.12465392324701963,0.5625,0.0845771144278607
response_mean,16,32,1.4805067693145957,0.3148600101492156,0.22096749908086508,0.71875,0.004975124378109453
response_mean,17,32,1.7140188563429941,0.34090484604747107,0.2530400669090781,0.78125,0.004975124378109453
response_mean,18,32,2.6866618721485924,0.5390263595984394,0.4913750577281192,0.96875,0.004975124378109453
response_mean,19,32,4.052057657888136,0.6158578147975017,0.575247508102344,1.0,0.004975124378109453
response_mean,20,32,5.849926105055851,0.6563444842837949,0.6206404102182921,1.0,0.004975124378109453
response_mean,21,32,8.185367302398584,0.6769353767051296,0.6406912033745529,1.0,0.004975124378109453
response_mean,22,32,9.244620133307436,0.667107433723556,0.6292454610152467,1.0,0.004975124378109453
response_mean,23,32,11.44197232110247,0.6424626144992457,0.600218645174962,1.0,0.004975124378109453
response_mean,24,32,12.927179415531189,0.6336201883271574,0.589731157253569,1.0,0.004975124378109453
response_mean,25,32,14.464623744446369,0.6235910425348408,0.5773219637840763,1.0,0.004975124378109453
response_mean,26,32,16.717717742331054,0.6233494054552641,0.5756625046567617,1.0,0.004975124378109453
response_mean,27,32,18.429685079846855,0.6270247985405303,0.5803307889702306,1.0,0.004975124378109453
response_mean,28,32,20.449679042583586,0.6259889734879147,0.5791792733175212,1.0,0.004975124378109453
response_mean,29,32,22.343124209406305,0.6199034859083431,0.5722332969767772,1.0,0.004975124378109453
response_mean,30,32,25.02896935456924,0.6180216560734855,0.5702848172899206,1.0,0.004975124378109453
response_mean,31,32,27.388659052452937,0.6220138908243015,0.5747529408896456,1.0,0.004975124378109453
response_mean,32,32,30.09784683162869,0.6189698003658881,0.5714338771730587,1.0,0.004975124378109453
response_mean,33,32,33.54659796828308,0.6196503721265173,0.5725751236220262,1.0,0.004975124378109453
response_mean,34,32,38.62273839427306,0.6255915780508149,0.579740623301523,1.0,0.004975124378109453
response_mean,35,32,9.825501109865268,0.7095080781840402,0.6782369474372097,1.0,0.004975124378109453
